record_id,sample_id,taxon_id,value
901,2292-04,44,0.1
902,2292-04,59,0.1
903,2292-05,9,0.1
904,2292-05,10,0.2
905,2292-05,31,1.2
906,2292-06,10,0.1
907,2292-06,24,2
908,2292-06,31,4
909,2292-06,64,0.1
910,2292-07,9,0.1
911,2292-07,22,8
912,2292-07,30,0.3
913,2292-07,49,0.2
914,2292-08,9,0.5
915,2292-08,22,1.5
916,2292-08,27,0.1
917,2292-08,41,0.1
918,2292-08,52,0.2
919,2292-08,56,0.1
920,2292-09,4,1.9
921,2292-09,24,1
922,2292-09,31,1
923,2292-09,62,0.1
924,2292-10,8,0.3
925,2292-10,10,0.3
926,2292-10,22,1
927,2292-10,24,0.1
928,2292-10,50,0.1
929,2292-12,9,0.3
930,2292-12,18,2
931,2292-12,24,0.1
932,2292-12,25,0.6
933,2292-12,31,3
934,2292-12,41,6
935,2292-12,59,0.1
936,2292-12,62,0.1
937,2292-12,63,0.1
938,2292-12,64,0.1
939,2292-13,8,3
940,2292-13,9,0.1
941,2292-13,13,0.8
942,2292-13,22,5
943,2292-13,50,0.1
944,2292-13,60,1.3
945,2292-14,9,0.1
946,2292-14,22,3
947,2292-14,44,0.1
948,2292-14,50,0.1
949,2292-14,56,0.1
950,2292-14,64,0.1
951,2292-15,4,0.2
952,2292-15,9,0.1
953,2292-15,10,0.2
954,2292-15,12,0.1
955,2292-15,24,15
956,2292-15,27,0.1
957,2292-15,31,1
958,2292-15,50,0.2
959,2292-15,56,0.2
960,2292-15,57,0.2
961,2292-15,63,0.1
962,2292-15,64,2
963,2292-16,24,12
964,2292-16,58,0.1
965,2292-16,64,2
966,2292-19,22,4
967,2292-19,24,1
968,2292-19,31,2
969,2292-19,44,0.1
970,2292-20,4,3
971,2292-20,9,0.1
972,2292-20,10,0.5
973,2292-20,24,4.3
974,2292-20,30,0.5
975,2292-20,31,3
976,2292-20,50,0.5
977,2292-20,56,0.2
978,2292-20,57,0.1
979,2292-20,59,0.3
980,2292-20,62,0.1
981,2292-20,64,1.2
982,2292-21,9,0.1
983,2292-21,10,0.1
984,2292-21,24,0.1
985,2292-21,29,0.1
986,2292-21,36,1
987,2292-21,54,0.1
988,2292-21,59,0.2
989,2292-22,13,0.5
990,2292-22,24,6
991,2292-22,31,2
992,2292-22,32,0.1
993,2292-22,38,1
994,2292-22,50,0.1
995,2292-22,62,0.1
996,2410-13,4,1
997,2410-13,23,0.8
998,2410-13,24,0.1
999,2410-14,22,0.5
1000,2410-14,23,0.2
1001,2410-20,16,1
